ship_mode,segment,region,category,quantity,discount,shipping_cost,order_priority,return
Standard Class,Consumer,South,Furniture,4,0.0,33.35,Medium,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,0.3,Medium,
Second Class,Consumer,East,Office Supplies,3,0.0,3.45,Critical,
Standard Class,Consumer,South,Technology,3,0.4,32.4,Medium,
Standard Class,Home Office,Central,Office Supplies,2,0.0,15.66,High,
Standard Class,Corporate,East,Office Supplies,3,0.0,1.98,High,
Second Class,Consumer,Central,Technology,7,0.15,35.71,Medium,
First Class,Home Office,Africa,Office Supplies,1,0.0,7.46,High,
First Class,Corporate,South,Office Supplies,8,0.0,73.92,Critical,
Standard Class,Consumer,North,Office Supplies,2,0.0,1.63,Low,
Second Class,Consumer,East,Office Supplies,3,0.0,60.4,Critical,
Same Day,Corporate,Oceania,Furniture,2,0.1,19.38,Medium,
Standard Class,Corporate,West,Office Supplies,2,0.2,3.0,Low,
Second Class,Consumer,East,Technology,4,0.0,6.63,Critical,
Second Class,Corporate,North Asia,Office Supplies,2,0.0,0.79,Medium,Yes
Standard Class,Corporate,West,Office Supplies,5,0.2,4.74,Low,
Second Class,Home Office,South,Furniture,4,0.0,0.62,High,
Same Day,Corporate,Oceania,Furniture,9,0.1,60.45,Medium,
Standard Class,Consumer,East,Office Supplies,1,0.2,0.26,Medium,
Same Day,Corporate,Africa,Office Supplies,1,0.0,2.8,High,
Standard Class,Corporate,East,Office Supplies,3,0.2,1.73,High,
Second Class,Consumer,Central,Technology,2,0.15,51.98,Medium,
Standard Class,Home Office,Caribbean,Office Supplies,5,0.2,3.98,High,
Same Day,Corporate,Africa,Office Supplies,4,0.0,11.83,High,
Second Class,Consumer,South,Office Supplies,2,0.0,20.57,Critical,
First Class,Corporate,North,Office Supplies,6,0.1,51.12,Critical,
Second Class,Consumer,South,Office Supplies,2,0.0,3.44,Critical,
Standard Class,Consumer,Central,Office Supplies,5,0.0,18.08,Medium,
Standard Class,Consumer,Southeast Asia,Technology,2,0.17,6.24,Medium,
First Class,Consumer,South,Furniture,3,0.4,91.58,Medium,
Standard Class,Home Office,Oceania,Office Supplies,3,0.1,4.87,Medium,
Same Day,Consumer,North Asia,Office Supplies,3,0.0,9.22,Critical,
First Class,Consumer,South,Office Supplies,2,0.7,0.17,Medium,
Standard Class,Consumer,Central,Technology,3,0.15,15.15,Medium,
Standard Class,Corporate,North,Furniture,2,0.4,1.26,Medium,
Second Class,Corporate,Southeast Asia,Technology,2,0.47,7.11,High,
First Class,Corporate,North,Furniture,7,0.4,26.11,Critical,
Standard Class,Consumer,Oceania,Technology,2,0.4,5.53,Medium,
Standard Class,Corporate,Canada,Technology,2,0.0,8.59,Medium,
Standard Class,Consumer,Oceania,Office Supplies,2,0.4,3.48,Medium,
First Class,Consumer,South,Office Supplies,1,0.2,0.58,Medium,
Second Class,Consumer,South,Office Supplies,3,0.0,3.2,Critical,
Standard Class,Consumer,Central,Office Supplies,3,0.0,14.07,High,
Second Class,Consumer,Central,Office Supplies,1,0.1,2.58,Critical,
Standard Class,Consumer,Central,Technology,5,0.0,44.78,High,
Second Class,Consumer,EMEA,Technology,1,0.0,5.36,High,
Standard Class,Home Office,Oceania,Office Supplies,6,0.4,2.42,Medium,
Standard Class,Consumer,Central,Technology,2,0.0,43.12,Medium,
Second Class,Corporate,South,Office Supplies,8,0.4,9.06,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.0,3.87,Medium,
Standard Class,Home Office,Oceania,Office Supplies,4,0.4,13.62,Medium,
Second Class,Consumer,Central,Office Supplies,2,0.2,22.67,Critical,
Standard Class,Home Office,Africa,Office Supplies,1,0.0,2.85,High,
Standard Class,Corporate,Central,Office Supplies,5,0.0,8.4,Medium,
Same Day,Consumer,South,Office Supplies,2,0.0,3.32,High,
Second Class,Consumer,South,Furniture,2,0.0,4.75,High,
First Class,Corporate,South,Office Supplies,7,0.0,1.27,Medium,
First Class,Consumer,North,Furniture,1,0.2,1.84,Medium,
First Class,Consumer,South,Office Supplies,3,0.0,70.13,High,
Same Day,Home Office,East,Technology,3,0.0,3.59,High,
Same Day,Consumer,EMEA,Office Supplies,6,0.6,3.57,Critical,
First Class,Home Office,West,Office Supplies,1,0.2,0.54,Critical,
Same Day,Consumer,South,Office Supplies,2,0.0,2.73,High,
Second Class,Consumer,South,Office Supplies,1,0.0,0.76,High,
Standard Class,Consumer,Africa,Office Supplies,4,0.0,11.06,Medium,
First Class,Corporate,South,Office Supplies,2,0.0,7.24,Medium,
Standard Class,Corporate,North,Technology,3,0.1,46.46,Medium,
Second Class,Consumer,South,Office Supplies,3,0.0,21.6,High,
Standard Class,Home Office,Central,Office Supplies,1,0.1,2.09,Medium,
Standard Class,Corporate,EMEA,Office Supplies,1,0.0,0.53,Medium,
First Class,Corporate,South,Furniture,3,0.0,128.82,Medium,
Second Class,Consumer,South,Office Supplies,3,0.0,6.69,High,
Same Day,Home Office,East,Office Supplies,9,0.0,19.45,High,
Standard Class,Corporate,EMEA,Technology,4,0.6,30.86,High,
Same Day,Consumer,South,Office Supplies,2,0.0,5.02,High,
Same Day,Consumer,EMEA,Technology,4,0.6,22.06,Critical,
Standard Class,Consumer,Africa,Technology,1,0.0,10.54,Medium,
First Class,Consumer,North Asia,Technology,3,0.0,70.93,Critical,
First Class,Corporate,South,Office Supplies,4,0.4,42.79,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,0.88,Medium,
Second Class,Corporate,Southeast Asia,Technology,7,0.0,65.84,Medium,
Standard Class,Consumer,Africa,Furniture,4,0.0,8.53,Medium,
Standard Class,Corporate,EMEA,Office Supplies,1,0.6,0.79,High,
Standard Class,Consumer,Central,Technology,5,0.0,79.12,Medium,
Standard Class,Consumer,Africa,Office Supplies,4,0.0,8.56,Medium,
Standard Class,Corporate,South,Technology,3,0.002,87.69,Medium,
Same Day,Consumer,EMEA,Office Supplies,1,0.6,14.79,Critical,
Standard Class,Corporate,South,Office Supplies,2,0.0,7.09,Medium,
Standard Class,Consumer,Central,Furniture,1,0.1,16.48,Low,
Standard Class,Corporate,North,Office Supplies,8,0.1,5.04,Medium,
First Class,Corporate,South,Technology,2,0.4,31.98,Medium,
First Class,Home Office,West,Technology,5,0.0,276.23,Medium,
Same Day,Consumer,EMEA,Technology,1,0.6,71.38,Critical,
Standard Class,Corporate,EMEA,Office Supplies,2,0.6,0.49,High,
Standard Class,Home Office,Caribbean,Furniture,3,0.0,33.19,High,
Standard Class,Consumer,Central,Furniture,9,0.1,118.67,Low,
Standard Class,Corporate,South,Furniture,2,0.0,5.06,Medium,
Same Day,Home Office,East,Office Supplies,1,0.0,6.75,High,
Standard Class,Corporate,Southeast Asia,Office Supplies,5,0.47,4.57,Medium,Yes
Second Class,Consumer,East,Furniture,2,0.2,2.64,High,
Same Day,Corporate,EMEA,Technology,10,0.0,415.01,Critical,
Standard Class,Corporate,Southeast Asia,Office Supplies,6,0.17,3.03,Medium,Yes
Standard Class,Corporate,South,Office Supplies,5,0.4,9.84,High,
Same Day,Corporate,EMEA,Office Supplies,1,0.0,2.82,Critical,
Standard Class,Corporate,North Asia,Furniture,5,0.2,13.19,Medium,
Second Class,Corporate,South,Furniture,3,0.0,14.11,High,
Standard Class,Consumer,Africa,Office Supplies,2,0.0,2.88,Medium,
Second Class,Corporate,South,Furniture,2,0.0,22.41,High,
Standard Class,Consumer,Africa,Office Supplies,8,0.0,11.02,Medium,
Standard Class,Corporate,Southeast Asia,Office Supplies,6,0.47,7.8,High,
Standard Class,Consumer,Caribbean,Office Supplies,6,0.2,1.95,Medium,
Second Class,Corporate,Central Asia,Technology,6,0.0,56.05,High,
First Class,Consumer,Africa,Technology,1,0.0,11.82,Medium,
Same Day,Consumer,Central,Technology,4,0.15,37.06,Medium,
Standard Class,Home Office,EMEA,Technology,6,0.6,36.45,Medium,
Same Day,Corporate,EMEA,Office Supplies,2,0.0,6.27,Critical,
Second Class,Corporate,Caribbean,Office Supplies,9,0.0,40.76,Medium,
Same Day,Corporate,EMEA,Office Supplies,1,0.0,18.76,Critical,
Standard Class,Corporate,South,Office Supplies,3,0.4,1.38,High,
Standard Class,Consumer,Southeast Asia,Furniture,2,0.27,25.4,Medium,
Standard Class,Consumer,EMEA,Furniture,1,0.0,8.44,Medium,
Second Class,Corporate,South,Technology,6,0.0,26.9,High,
Standard Class,Consumer,Southeast Asia,Office Supplies,3,0.47,3.64,Medium,
Standard Class,Consumer,Caribbean,Office Supplies,1,0.2,0.64,Medium,
Second Class,Consumer,Central,Technology,2,0.002,17.47,High,Yes
Same Day,Corporate,West,Office Supplies,2,0.0,3.91,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.0,2.22,Medium,
Same Day,Corporate,West,Technology,2,0.2,66.54,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,3,0.27,7.26,Medium,
Standard Class,Corporate,Southeast Asia,Office Supplies,2,0.47,1.63,High,
Second Class,Corporate,Central Asia,Technology,5,0.0,134.52,High,
Standard Class,Consumer,South,Furniture,3,0.4,34.05,High,
Same Day,Corporate,EMEA,Office Supplies,1,0.0,8.15,Critical,
Standard Class,Consumer,EMEA,Furniture,2,0.0,30.61,Medium,
Standard Class,Consumer,Africa,Technology,1,0.0,3.06,Medium,
Standard Class,Corporate,North,Office Supplies,2,0.5,1.58,Medium,
Standard Class,Consumer,EMEA,Office Supplies,8,0.0,14.57,Medium,
Standard Class,Consumer,Central,Technology,2,0.15,12.89,Medium,
Same Day,Consumer,EMEA,Technology,1,0.0,41.53,High,
Standard Class,Consumer,EMEA,Office Supplies,4,0.0,3.21,Medium,
Standard Class,Consumer,South,Technology,6,0.0,27.65,Medium,
Standard Class,Corporate,South,Office Supplies,1,0.7,0.36,High,
Second Class,Consumer,Africa,Office Supplies,1,0.0,3.61,Medium,
Same Day,Corporate,EMEA,Office Supplies,2,0.0,84.03,Critical,
Second Class,Corporate,Central,Office Supplies,2,0.2,2.13,Medium,
Standard Class,Home Office,EMEA,Office Supplies,1,0.0,0.42,Low,
Standard Class,Home Office,Central,Office Supplies,3,0.1,2.44,Medium,
First Class,Consumer,Southeast Asia,Office Supplies,1,0.47,0.62,High,
Standard Class,Consumer,Central,Office Supplies,5,0.0,2.09,Medium,
Standard Class,Home Office,Oceania,Office Supplies,4,0.0,3.47,Medium,
First Class,Home Office,East,Office Supplies,4,0.2,82.67,Critical,
First Class,Corporate,West,Office Supplies,2,0.0,1.9,Medium,
Standard Class,Consumer,Southeast Asia,Furniture,5,0.27,5.64,Medium,
Standard Class,Consumer,Central,Office Supplies,4,0.1,20.18,Medium,
Standard Class,Consumer,East,Furniture,3,0.0,27.63,Medium,
Standard Class,Consumer,EMEA,Office Supplies,2,0.6,1.06,Medium,
Standard Class,Consumer,Central,Office Supplies,4,0.0,1.82,Medium,
Second Class,Home Office,South,Technology,4,0.4,28.96,High,
First Class,Consumer,Central,Furniture,3,0.1,86.92,High,
Standard Class,Consumer,Southeast Asia,Technology,1,0.0,4.36,High,
Second Class,Consumer,Africa,Office Supplies,1,0.7,1.55,High,
First Class,Consumer,Canada,Furniture,1,0.0,133.38,Critical,
Standard Class,Corporate,Oceania,Technology,2,0.1,18.01,Medium,Yes
Second Class,Home Office,South,Furniture,4,0.4,33.2,High,
First Class,Corporate,Central Asia,Office Supplies,4,0.0,6.04,Critical,
Standard Class,Home Office,Oceania,Office Supplies,2,0.0,2.96,Medium,
First Class,Home Office,South,Technology,3,0.4,13.45,High,
Standard Class,Consumer,Central,Technology,1,0.0,0.69,Medium,
Standard Class,Corporate,Oceania,Office Supplies,1,0.1,1.24,Medium,Yes
Standard Class,Consumer,Oceania,Office Supplies,4,0.0,0.25,Medium,
Standard Class,Consumer,East,Technology,6,0.0,47.09,Medium,
Standard Class,Corporate,North Asia,Office Supplies,3,0.0,2.76,Medium,
First Class,Home Office,East,Office Supplies,2,0.0,6.53,Critical,
Standard Class,Consumer,EMEA,Technology,1,0.6,4.01,Medium,
Standard Class,Home Office,Central Asia,Office Supplies,2,0.0,22.33,Low,
First Class,Home Office,East,Office Supplies,4,0.0,6.22,Critical,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,2.37,High,
Standard Class,Corporate,East,Office Supplies,6,0.2,1.81,Medium,
Standard Class,Consumer,Southeast Asia,Furniture,2,0.27,8.45,Low,
Standard Class,Corporate,North,Technology,4,0.0,49.4,Low,
Standard Class,Consumer,South,Office Supplies,6,0.6,4.27,Medium,
Standard Class,Consumer,Southeast Asia,Technology,1,0.17,13.6,Medium,
Standard Class,Corporate,EMEA,Office Supplies,6,0.0,37.65,High,
First Class,Consumer,South,Furniture,2,0.0,7.88,Medium,
Standard Class,Consumer,Central,Office Supplies,2,0.0,0.77,Medium,
Standard Class,Corporate,East,Technology,2,0.4,1.43,Medium,
First Class,Home Office,South,Office Supplies,4,0.4,71.92,High,
Standard Class,Consumer,East,Technology,2,0.0,4.99,Medium,
First Class,Home Office,East,Office Supplies,1,0.2,0.67,Critical,
Second Class,Consumer,Africa,Office Supplies,2,0.7,0.79,High,
Standard Class,Corporate,East,Office Supplies,7,0.2,0.36,Medium,
Standard Class,Consumer,South,Office Supplies,6,0.0,6.34,Medium,
Second Class,Consumer,EMEA,Furniture,2,0.0,35.05,High,
Standard Class,Consumer,EMEA,Office Supplies,2,0.0,4.88,High,
Standard Class,Corporate,Oceania,Office Supplies,1,0.1,36.41,Medium,Yes
First Class,Home Office,East,Technology,1,0.0,0.31,Critical,
Standard Class,Consumer,Southeast Asia,Office Supplies,3,0.0,2.38,High,
Standard Class,Consumer,Central,Office Supplies,5,0.0,2.24,Medium,
Second Class,Home Office,West,Office Supplies,1,0.0,1.35,High,
Standard Class,Consumer,East,Office Supplies,3,0.0,0.7,Medium,
Second Class,Consumer,Africa,Office Supplies,1,0.7,0.2,High,
First Class,Consumer,Central,Office Supplies,1,0.0,3.84,High,
Second Class,Corporate,EMEA,Furniture,1,0.0,41.65,Critical,
Standard Class,Corporate,South,Office Supplies,2,0.0,3.19,Medium,
Second Class,Consumer,EMEA,Office Supplies,4,0.0,20.65,High,
Standard Class,Home Office,Oceania,Furniture,4,0.0,70.52,Medium,
Second Class,Consumer,EMEA,Office Supplies,4,0.0,14.17,High,
Standard Class,Corporate,Oceania,Office Supplies,2,0.4,1.84,Medium,
First Class,Consumer,Caribbean,Furniture,5,0.0,33.99,High,
Standard Class,Consumer,Caribbean,Furniture,5,0.0,87.61,Medium,
First Class,Home Office,Central,Office Supplies,3,0.4,2.4,Medium,
Second Class,Corporate,Oceania,Technology,3,0.4,8.57,Medium,
Standard Class,Corporate,Southeast Asia,Office Supplies,2,0.0,12.09,Medium,
First Class,Consumer,North Asia,Office Supplies,2,0.0,122.47,High,Yes
First Class,Consumer,Central,Technology,2,0.0,29.05,Critical,
First Class,Consumer,North Asia,Office Supplies,6,0.0,465.63,High,Yes
Second Class,Consumer,Central,Furniture,2,0.4,24.95,High,
Standard Class,Corporate,North Asia,Office Supplies,2,0.0,3.4,Medium,
Standard Class,Corporate,Oceania,Office Supplies,2,0.4,56.68,Medium,
Standard Class,Consumer,East,Furniture,1,0.4,20.49,Medium,
Standard Class,Corporate,Oceania,Furniture,1,0.4,2.08,Medium,
Standard Class,Corporate,Southeast Asia,Furniture,2,0.0,12.12,Medium,
Standard Class,Corporate,Oceania,Office Supplies,2,0.4,0.57,Medium,
Standard Class,Consumer,Africa,Furniture,1,0.0,16.55,Medium,
First Class,Consumer,West,Furniture,4,0.2,0.65,High,
Second Class,Corporate,South,Office Supplies,3,0.0,2.27,High,
Second Class,Consumer,Oceania,Office Supplies,10,0.0,36.39,High,
Second Class,Consumer,Central,Office Supplies,5,0.4,19.09,High,
Second Class,Consumer,Oceania,Office Supplies,1,0.0,1.09,High,
First Class,Home Office,Central,Technology,4,0.002,211.55,High,
Second Class,Consumer,South,Office Supplies,4,0.7,0.33,Medium,
Standard Class,Corporate,Oceania,Furniture,5,0.4,13.56,Medium,
Standard Class,Consumer,North,Furniture,3,0.2,26.77,High,
Second Class,Corporate,South,Technology,8,0.0,54.77,High,
Standard Class,Consumer,North,Office Supplies,2,0.0,1.07,High,
Second Class,Consumer,South,Office Supplies,8,0.2,5.39,Medium,
Second Class,Consumer,Oceania,Office Supplies,2,0.4,12.8,Critical,
Standard Class,Consumer,North,Technology,1,0.0,13.71,High,
First Class,Consumer,Central,Furniture,5,0.0,5.55,Critical,
Same Day,Consumer,Central,Technology,3,0.2,12.5,High,
Second Class,Corporate,Oceania,Furniture,5,0.4,10.33,Medium,
Standard Class,Consumer,EMEA,Office Supplies,2,0.0,3.71,Medium,
Second Class,Consumer,Oceania,Furniture,2,0.4,55.01,Critical,
First Class,Home Office,Central,Furniture,1,0.0,47.2,High,
Same Day,Consumer,Central,Office Supplies,1,0.2,4.59,High,
Second Class,Corporate,Oceania,Office Supplies,8,0.4,58.45,Medium,
Standard Class,Corporate,EMEA,Furniture,1,0.0,4.05,High,
Standard Class,Home Office,Oceania,Office Supplies,1,0.4,0.7,Medium,
Standard Class,Corporate,Central Asia,Furniture,6,0.0,10.94,Medium,
Standard Class,Home Office,South,Office Supplies,3,0.0,26.12,High,Yes
Second Class,Consumer,North,Office Supplies,3,0.5,16.43,High,
Standard Class,Consumer,North,Office Supplies,5,0.0,18.97,Medium,
Second Class,Consumer,Central,Office Supplies,3,0.2,5.75,High,
Standard Class,Consumer,Southeast Asia,Furniture,6,0.25,100.71,Low,
Standard Class,Home Office,Oceania,Technology,2,0.4,5.44,Medium,
First Class,Corporate,Central,Office Supplies,9,0.2,23.84,Critical,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,3.2,Medium,
First Class,Home Office,Central Asia,Office Supplies,7,0.0,12.29,Medium,
Standard Class,Corporate,Central Asia,Office Supplies,4,0.0,1.29,Medium,
Standard Class,Consumer,Central,Technology,3,0.2,3.81,Medium,
Standard Class,Corporate,EMEA,Technology,1,0.0,36.54,High,
Standard Class,Home Office,Central,Technology,2,0.0,18.51,High,
Standard Class,Consumer,Central,Office Supplies,4,0.0,2.67,Medium,
Second Class,Consumer,North,Office Supplies,6,0.5,33.1,High,
Standard Class,Home Office,South,Technology,2,0.0,3.69,High,Yes
Standard Class,Consumer,North,Office Supplies,2,0.0,6.06,Medium,
Standard Class,Corporate,Southeast Asia,Office Supplies,8,0.47,3.69,Medium,
Standard Class,Corporate,Southeast Asia,Technology,2,0.47,4.36,Medium,
First Class,Corporate,North Asia,Technology,2,0.0,82.37,High,
Same Day,Home Office,West,Office Supplies,3,0.0,63.07,High,
Second Class,Corporate,South,Office Supplies,7,0.0,594.02,Critical,
Standard Class,Consumer,Africa,Office Supplies,4,0.0,5.88,Medium,
Second Class,Consumer,EMEA,Office Supplies,1,0.6,4.19,High,
Second Class,Consumer,East,Office Supplies,3,0.0,96.75,Medium,
Second Class,Corporate,South,Office Supplies,1,0.0,7.17,Critical,
Same Day,Home Office,Central,Office Supplies,5,0.1,546.9,Critical,
Standard Class,Corporate,Southeast Asia,Technology,3,0.17,14.76,Medium,
Same Day,Home Office,West,Office Supplies,1,0.0,3.66,High,
Second Class,Consumer,Oceania,Office Supplies,2,0.4,0.66,Medium,
Second Class,Corporate,South,Office Supplies,5,0.0,0.23,Critical,
Second Class,Consumer,East,Furniture,5,0.0,3.82,Medium,
Second Class,Corporate,South,Office Supplies,7,0.0,25.38,Critical,
Second Class,Consumer,East,Furniture,3,0.3,28.24,Medium,
Same Day,Consumer,South,Technology,9,0.2,177.24,High,
Standard Class,Consumer,East,Technology,3,0.0,22.41,Medium,
Second Class,Consumer,East,Technology,3,0.0,9.01,Medium,
Standard Class,Home Office,North,Technology,5,0.0,8.53,Medium,
Same Day,Home Office,Central,Office Supplies,4,0.0,10.62,Critical,
Standard Class,Corporate,EMEA,Technology,4,0.0,23.58,Medium,
Second Class,Consumer,East,Office Supplies,6,0.0,12.25,High,
Standard Class,Corporate,EMEA,Office Supplies,2,0.0,57.39,Medium,
Standard Class,Consumer,Central,Technology,3,0.5,77.43,High,
Same Day,Home Office,Central,Office Supplies,6,0.0,41.58,Critical,
Standard Class,Consumer,North,Furniture,1,0.4,0.4,Medium,
First Class,Consumer,Central,Technology,2,0.15,21.99,Critical,
Standard Class,Home Office,North,Office Supplies,2,0.0,1.52,Medium,
Second Class,Corporate,Central,Office Supplies,3,0.0,2.9,Medium,
Second Class,Consumer,Central,Furniture,2,0.3,9.38,High,
Standard Class,Corporate,EMEA,Office Supplies,2,0.0,1.32,Medium,
Standard Class,Corporate,West,Office Supplies,8,0.0,1.32,High,Yes
First Class,Consumer,Central,Office Supplies,2,0.4,2.87,Medium,
Standard Class,Corporate,Southeast Asia,Furniture,7,0.27,28.63,Medium,
Same Day,Home Office,Central,Office Supplies,5,0.0,48.65,Critical,
First Class,Home Office,Southeast Asia,Office Supplies,3,0.17,22.45,Critical,
Same Day,Home Office,West,Furniture,2,0.0,3.98,High,
First Class,Home Office,Southeast Asia,Technology,1,0.47,32.28,Critical,
Standard Class,Corporate,EMEA,Office Supplies,4,0.0,11.17,Medium,
Standard Class,Consumer,South,Furniture,6,0.0,13.48,Medium,
Standard Class,Consumer,West,Furniture,2,0.0,2.44,Medium,
First Class,Corporate,Africa,Office Supplies,1,0.0,2.22,High,
Second Class,Consumer,Central,Office Supplies,4,0.0,5.1,Critical,
First Class,Consumer,Central,Office Supplies,1,0.4,5.23,Medium,
Standard Class,Corporate,Southeast Asia,Furniture,5,0.37,51.16,Medium,
Standard Class,Consumer,Central,Furniture,3,0.0,1.39,Low,
Standard Class,Consumer,Central,Office Supplies,2,0.6,5.46,Low,
Same Day,Home Office,West,Office Supplies,3,0.0,0.01,High,
Standard Class,Corporate,EMEA,Office Supplies,4,0.0,2.3,Medium,
Standard Class,Consumer,East,Furniture,2,0.0,14.54,Medium,
Same Day,Home Office,Central,Office Supplies,4,0.0,33.73,Critical,
Same Day,Home Office,Central,Office Supplies,2,0.0,39.33,Critical,
Standard Class,Consumer,North,Furniture,3,0.4,2.67,Medium,
First Class,Corporate,North Asia,Office Supplies,3,0.0,12.95,High,
Second Class,Corporate,Central,Furniture,1,0.0,0.07,Medium,
Second Class,Consumer,East,Furniture,4,0.0,153.47,High,
Standard Class,Consumer,South,Office Supplies,2,0.2,0.29,Medium,Yes
Second Class,Consumer,Central,Office Supplies,4,0.8,1.85,High,
Second Class,Consumer,Central,Furniture,5,0.3,27.34,High,
Standard Class,Consumer,South,Office Supplies,7,0.4,10.24,High,
First Class,Consumer,Central,Office Supplies,3,0.0,6.49,High,
Standard Class,Corporate,EMEA,Office Supplies,2,0.0,5.37,Medium,
Standard Class,Consumer,Central,Office Supplies,7,0.0,24.06,Medium,
Second Class,Home Office,North,Office Supplies,2,0.0,7.73,Medium,Yes
Same Day,Home Office,North,Office Supplies,1,0.0,2.47,Medium,
Second Class,Corporate,Central,Office Supplies,2,0.0,2.08,Medium,
Standard Class,Consumer,North,Office Supplies,4,0.5,12.32,High,
Standard Class,Home Office,South,Furniture,4,0.0,44.88,Medium,
Standard Class,Consumer,Africa,Furniture,2,0.0,18.71,Medium,
Standard Class,Consumer,Africa,Technology,2,0.0,20.75,Medium,
Standard Class,Home Office,West,Office Supplies,3,0.0,8.08,Medium,
Standard Class,Home Office,Southeast Asia,Office Supplies,6,0.27,6.83,Medium,
Second Class,Corporate,Central,Office Supplies,2,0.0,1.87,Medium,
Standard Class,Home Office,South,Office Supplies,1,0.0,0.86,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,1.35,Medium,
Second Class,Corporate,Central,Technology,2,0.0,24.74,Medium,
Standard Class,Consumer,South,Technology,3,0.1,22.47,Medium,
Standard Class,Consumer,Central Asia,Office Supplies,5,0.0,12.37,High,
Standard Class,Home Office,Central,Office Supplies,4,0.5,5.24,Medium,
Standard Class,Corporate,Africa,Office Supplies,1,0.7,0.94,High,
Second Class,Consumer,South,Technology,5,0.0,11.5,High,
Standard Class,Corporate,Africa,Technology,2,0.7,8.69,High,
First Class,Consumer,East,Office Supplies,3,0.0,0.87,Medium,
Second Class,Consumer,South,Technology,1,0.0,26.96,High,
Second Class,Home Office,Africa,Office Supplies,10,0.0,296.08,Critical,
Standard Class,Corporate,EMEA,Technology,1,0.7,6.09,Medium,
Standard Class,Consumer,South,Technology,4,0.402,27.32,Medium,
Second Class,Home Office,Africa,Office Supplies,1,0.0,1.86,Critical,
Standard Class,Corporate,Central,Technology,2,0.15,158.99,High,Yes
Same Day,Consumer,Oceania,Technology,1,0.1,27.31,Medium,
Standard Class,Corporate,EMEA,Office Supplies,1,0.7,1.19,Medium,
Standard Class,Consumer,South,Office Supplies,8,0.4,2.28,Medium,
Same Day,Consumer,Oceania,Office Supplies,5,0.1,8.77,Medium,
Standard Class,Consumer,South,Office Supplies,7,0.0,16.07,Medium,
Second Class,Consumer,North,Office Supplies,3,0.0,6.22,Medium,
Same Day,Consumer,Oceania,Technology,7,0.1,159.13,Medium,
First Class,Consumer,East,Furniture,6,0.0,1.64,Medium,
First Class,Consumer,East,Office Supplies,1,0.0,0.72,Medium,
Standard Class,Corporate,Central,Office Supplies,3,0.0,14.4,High,Yes
Second Class,Consumer,North,Office Supplies,5,0.0,16.63,Medium,
First Class,Consumer,East,Furniture,3,0.3,34.07,Medium,
Second Class,Consumer,Oceania,Office Supplies,1,0.0,1.46,High,
Standard Class,Consumer,Central,Office Supplies,3,0.1,7.87,Medium,
Standard Class,Home Office,Central,Furniture,4,0.0,9.9,Medium,Yes
Standard Class,Consumer,East,Office Supplies,4,0.0,1.03,Low,
Standard Class,Consumer,East,Office Supplies,3,0.2,43.09,Low,
Second Class,Corporate,Southeast Asia,Office Supplies,5,0.47,19.96,Critical,
Standard Class,Consumer,Central,Office Supplies,7,0.0,7.45,Medium,
Standard Class,Consumer,EMEA,Technology,1,0.0,3.93,Medium,
Standard Class,Corporate,Caribbean,Furniture,1,0.5,1.01,Medium,
Same Day,Consumer,Central,Office Supplies,5,0.5,6.76,High,Yes
Second Class,Consumer,Oceania,Technology,2,0.0,25.6,High,
Standard Class,Consumer,Central,Office Supplies,1,0.0,0.45,Medium,
Standard Class,Consumer,Caribbean,Furniture,5,0.2,52.05,High,
Standard Class,Consumer,Caribbean,Furniture,2,0.4,11.41,High,
Standard Class,Home Office,EMEA,Furniture,1,0.6,0.3,Medium,
Standard Class,Corporate,North Asia,Office Supplies,3,0.0,13.82,Low,Yes
Second Class,Consumer,Oceania,Office Supplies,1,0.0,3.15,High,
Standard Class,Home Office,Central,Office Supplies,14,0.0,32.29,Medium,Yes
Standard Class,Consumer,Caribbean,Office Supplies,2,0.2,4.8,High,
Second Class,Corporate,Southeast Asia,Furniture,2,0.27,18.98,Critical,
Standard Class,Consumer,Central,Office Supplies,3,0.0,4.5,Medium,
Same Day,Consumer,Central,Office Supplies,9,0.5,13.2,High,Yes
Standard Class,Home Office,Central,Furniture,2,0.0,6.31,Medium,Yes
First Class,Corporate,Central,Office Supplies,8,0.0,0.44,High,
Standard Class,Consumer,Caribbean,Technology,6,0.2,20.53,High,
Standard Class,Consumer,Central,Technology,2,0.0,10.24,Medium,
Standard Class,Consumer,Central,Technology,6,0.0,48.21,Medium,
Second Class,Corporate,North,Office Supplies,4,0.0,3.5,High,
Standard Class,Home Office,Central,Furniture,5,0.2,27.15,Low,
Standard Class,Consumer,South,Furniture,4,0.0,16.05,Medium,
Standard Class,Consumer,East,Furniture,3,0.1,24.95,High,
Standard Class,Corporate,Central,Office Supplies,6,0.8,9.48,Medium,
Standard Class,Corporate,Central,Office Supplies,1,0.2,0.67,Medium,
Standard Class,Consumer,South,Office Supplies,1,0.0,0.4,Medium,
First Class,Corporate,South,Office Supplies,2,0.0,4.94,Critical,
